ticker,period,strategy,alpha,beta,omega,gamma,lambda,sigma_eps,alpha_init,beta_init,omega_init,gamma_init,lambda_init,two_norm_error,aic,bic,aic_init,bic_init,loss,loss_init,calibration_time_sec,n_options,n_returns,status,error
MSI,Period2,best1bin,1.12115699685989E-06,0.989178841244351,5.6066805460611E-06,0.289512855065794,0.303546089353104,0.299996397447935,0.000001,0.910591778269188,0.00001,0.25,0.3,1.07444529949557,-21.2500370419873,9.14030236708992,,,6107441.60573632,-906.133770922211,545.974715709686,3223,607,ok,
MSI,Period3,best1bin,1.2157718584046E-06,0.98718796219348,9.10450048149594E-06,0.482684319353977,0.335743604365339,0.299998194999601,0.0000015,0.955097183520054,0.00001,0.25,0.3,1.14902044925516,-15.4281235520171,7.59159557098528,,,332389.175252855,-493.744439772971,138.712097644806,738,216,ok,
MTB,Period1,,,,,,,,,,,,,,,,,,,,,,,failed,first_obs and last_obs produce an empty array.
MTB,Period2,,,,,,,,,,,,,,,,,,,,,,,failed,first_obs and last_obs produce an empty array.
MTB,Period3,,,,,,,,,,,,,,,,,,,,,,,failed,first_obs and last_obs produce an empty array.
MU,Period1,best1bin,1.40939858215413E-06,0.989438794045357,8.10143062211397E-06,0.275706555627989,0.301246289955516,0.299998537724635,0.0000015,0.944188235044261,0.00001,0.25,0.3,1.07039831803762,-19.9919621938616,9.57564289255789,-4.00025644897507,17.0317327666191,3255905.87309076,2981.34024335876,511.026475906372,2734,246,ok,
MU,Period2,best1bin,1.25853965350982E-06,0.987710751997268,4.39391166071409E-06,0.295886304970537,0.306034631733634,0.299999371377506,0.0000015,0.96284330944329,0.00001,0.25,0.3,1.07553634569984,-23.5234327657465,19.95251544958,,,19033599.7431485,-2069.27552309268,5455.50354743004,44143,1514,ok,
MU,Period3,best1bin,1.3563506835348E-06,0.983469350048507,7.51915995005999E-06,0.435608204660602,0.304262257874006,0.299999950762786,0.0000015,0.89610855609689,0.00001,0.25,0.3,1.11782914261413,-21.8587030453551,19.6416973653483,-1.24578651148031,27.4132554427528,8279983.40951415,752.118021966772,2967.04825592041,29735,877,ok,
NKE,Period1,best1bin,1.03447299998244E-06,0.988867512954913,8.91201413195371E-06,0.41756110647501,0.461490790804305,0.299998671185142,0.000001,0.99,7.56503986882343E-06,0.25,0.3,1.16841344818345,-19.0193851338225,10.1604877747853,,,2002070.72801336,-594.8159045082,366.796862363815,2530,265,ok,
NKE,Period2,best1bin,1.34207269755271E-06,0.986131946795287,7.17968254944469E-06,0.261340113031397,0.3169998583723,0.299999119494183,0.0000015,0.978665424480655,2.66786669139377E-06,0.25,0.3,1.06829012044057,-21.9054930540935,18.15262800161,,,8475977.35789174,-5302.82979092003,2684.05187082291,22284,1737,ok,
NKE,Period3,best1bin,1.03953844123502E-06,0.988758325851491,8.13972801969499E-06,0.393585578486726,0.311478074632516,0.299988726097055,0.0000015,0.687627592257362,0.00001,0.25,0.3,1.10886032735304,-20.0796944617635,18.9491278582741,-5.57206932533781,23.2021653257033,3401908.75599039,6542.23849014771,2727.23988509178,18138,894,ok,
NTAP,Period1,best1bin,1.4359450272347E-06,0.988642322621689,8.55471812004252E-06,0.420534345728927,0.439364118880314,0.299996343485549,0.000001,0.942011270828638,0.00001,0.25,0.3,1.16073408111039,-18.7160171030522,10.9708563777642,-2.2929392661176,19.7675835474921,1720298.79465672,1269.61582419826,377.756922483444,2800,292,ok,
NTAP,Period2,best1bin,1.07537997407587E-06,0.977144606884391,9.96429740007329E-06,0.253810812538518,0.357509465342233,0.299998471706542,0.0000015,0.98565590115842,4.72381428635575E-06,0.25,0.3,1.07100164763386,-20.111771292467,15.7974187650503,,,3456909.86795397,-3837.35799173693,1180.37068271637,9719,1319,ok,
NTAP,Period3,best1bin,1.10732759668781E-06,0.98932927510695,9.54239846947989E-06,0.257047498418807,0.508814830313479,0.299997973478743,0.0000015,0.5,0.00001,0.25,0.3,1.14181362869175,-15.7743131477982,12.7901416596525,-6.64054320031536,18.9512640761109,395203.686855085,11162.013046257,394.822798490524,2237,526,ok,
NVDA,Period1,best1bin,1.33501538772709E-06,0.988910422366114,9.73138835799882E-06,0.4503237887966,0.391093780598045,0.299999639435028,0.0000015,0.958101649379477,0.00001,0.25,0.3,1.15485483223624,-23.2850150682859,8.93056487181375,-3.72391820396894,18.5782480044684,16894649.5339646,2596.60240460414,654.649281024933,4643,304,ok,
NVDA,Period2,best1bin,1.13188667324469E-06,0.986512348750976,6.95859243712097E-06,0.433956759903694,0.420565846923689,0.299999170491104,0.0000015,0.976392693434596,7.55248185811442E-06,0.25,0.3,1.15689269828823,-23.5948638322042,19.624755023492,,,19725680.3547147,-4037.9648946517,5717.82504701614,41937,1712,ok,
NVDA,Period3,best1bin,1.47242539155542E-06,0.982966588542056,9.95939353303622E-06,0.3916407780287,0.365559813175238,0.299997435767762,0.0000015,0.861436057281777,0.00001,0.25,0.3,1.11948192942763,-23.8764347170108,21.9467133028725,-4.94786589126581,23.9393914922939,22707761.9131514,4788.31065051398,6028.75688552856,70589,911,ok,
ORCL,Period1,best1bin,1.2338617480483E-06,0.987735654056594,8.23781099850835E-06,0.456829099842703,0.592442129179568,0.299999996525766,0.0000015,0.916556845791168,0.00001,0.25,0.3,1.23907313151965,-20.3223152020338,11.7357369421721,-0.926772589013801,20.8819650300017,3840670.8161656,641.228773707875,776.909337282181,4499,280,ok,
ORCL,Period2,best1bin,1.18669500241687E-06,0.971367690625872,9.55630911832548E-06,0.254768340295013,0.456941708248755,0.299990364303684,0.0000015,0.98250464425671,1.59570706664814E-06,0.25,0.3,1.10329407794954,-23.2761362805253,17.1863389290779,,,16819813.7658464,-4765.93714476421,2960.01155519485,24161,1676,ok,
