S0,m,r,T,corp,omega,alpha,beta,theta,lambda,sigma,V
108.573204971596,0.920349332018648,0.05,0.26825123470769,-1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,0
108.900259635159,1.12978779036531,0.05,0.26321475924748,1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,0
108.900259635159,1.12978779036531,0.05,0.26321475924748,-1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,14.1339240682562
108.900259635159,0.813501884169283,0.05,0.540196757169026,1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,20.3096932354331
108.900259635159,0.813501884169283,0.05,0.540196757169026,-1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,0
108.900259635159,1.02157640900023,0.05,0.45662310433483,1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,0
108.900259635159,1.02157640900023,0.05,0.45662310433483,-1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,2.34967654211994
108.900259635159,0.951639410173508,0.05,0.610388350461653,1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,5.26648078821442
108.900259635159,0.951639410173508,0.05,0.610388350461653,-1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,0
108.900259635159,0.887458020058882,0.05,0.128262447552322,1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,12.2558508354426
108.900259635159,0.887458020058882,0.05,0.128262447552322,-1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,0
108.900259635159,0.86171503125251,0.05,0.220329604630059,1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,15.0592690002415
108.900259635159,0.86171503125251,0.05,0.220329604630059,-1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,0
108.900259635159,1.01834057197399,0.05,0.872970949532223,1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,0
108.900259635159,1.01834057197399,0.05,0.872970949532223,-1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,1.997293049825
108.900259635159,0.903748587979377,0.05,0.13902494604571,1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,10.4818037592965
108.900259635159,0.903748587979377,0.05,0.13902494604571,-1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,0
108.900259635159,0.918499664668973,0.05,0.828160944105994,1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,8.87540767790135
108.900259635159,0.918499664668973,0.05,0.828160944105994,-1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,0
108.900259635159,1.17099221544758,0.05,0.885183664968294,1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,0
108.900259635159,1.17099221544758,0.05,0.885183664968294,-1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,18.621096657833
109.095286275274,0.874230109927416,0.05,0.447939372737863,1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,13.7209021622783
109.095286275274,0.874230109927416,0.05,0.447939372737863,-1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,0
109.095286275274,0.842695280902124,0.05,0.715908369950819,1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,17.1612033624343
109.095286275274,0.842695280902124,0.05,0.715908369950819,-1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,0
109.095286275274,1.05707596631443,0.05,0.584758837872052,1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,0
109.095286275274,1.05707596631443,0.05,0.584758837872052,-1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,6.2267188845108
109.095286275274,0.880880917372097,0.05,0.806092843699505,1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,12.9953304201391
109.095286275274,0.880880917372097,0.05,0.806092843699505,-1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,0
109.095286275274,1.0275760880477,0.05,0.159367804830498,1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,0
109.095286275274,1.0275760880477,0.05,0.159367804830498,-1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,3.0084212199158
109.095286275274,0.924331919902542,0.05,0.837088498646965,1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,8.25503086013251
109.095286275274,0.924331919902542,0.05,0.837088498646965,-1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,0
109.095286275274,1.16764361271967,0.05,0.67797603993147,1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,0
109.095286275274,1.16764361271967,0.05,0.67797603993147,-1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,18.2891279218738
109.095286275274,0.819272491000095,0.05,0.712866712480946,1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,19.7165193321617
109.095286275274,0.819272491000095,0.05,0.712866712480946,-1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,0
109.095286275274,1.00026725053615,0.05,0.521260683353304,1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,0
109.095286275274,1.00026725053615,0.05,0.521260683353304,-1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,0.0291557737487835
109.095286275274,1.0087662866001,0.05,0.729465730313198,1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,0
109.095286275274,1.0087662866001,0.05,0.729465730313198,-1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,0.956360546209211
108.742348233372,0.942167647122095,0.05,0.406763989020371,1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,6.28882585580442
108.742348233372,0.942167647122095,0.05,0.406763989020371,-1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,0
108.742348233372,0.910090267920535,0.05,0.675307684832743,1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,9.77699539535432
108.742348233372,0.910090267920535,0.05,0.675307684832743,-1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,0
108.742348233372,0.902816970842056,0.05,0.715408824763965,1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,10.5679107990671
108.742348233372,0.902816970842056,0.05,0.715408824763965,-1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,0
108.742348233372,0.818416397452594,0.05,0.433218084504039,1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,19.7458273416801
108.742348233372,0.818416397452594,0.05,0.433218084504039,-1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,0
108.742348233372,1.0481495258213,0.05,0.558057761780866,1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,0
108.742348233372,1.0481495258213,0.05,0.558057761780866,-1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,5.2358925041318
108.742348233372,0.881042781451556,0.05,0.286383793654876,1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,12.9356872842682
108.742348233372,0.881042781451556,0.05,0.286383793654876,-1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,0
108.742348233372,1.06250567409318,0.05,0.959411239221905,1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,0
108.742348233372,1.06250567409318,0.05,0.959411239221905,-1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,6.79701377880249
108.742348233372,1.05902041974121,0.05,0.556434719391772,1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,0
108.742348233372,1.05902041974121,0.05,0.556434719391772,-1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,6.41801903637835
108.742348233372,0.999877728187534,0.05,0.330343420880503,1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,0.0132961240103384
108.742348233372,0.999877728187534,0.05,0.330343420880503,-1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,0
108.742348233372,0.861221679506459,0.05,0.241917094908467,1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,15.0910804543511
108.742348233372,0.861221679506459,0.05,0.241917094908467,-1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,0
108.928674897555,0.88040143844719,0.05,0.396118419842964,1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,13.0277128296013
108.928674897555,0.88040143844719,0.05,0.396118419842964,-1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,0
108.928674897555,1.15435219977505,0.05,0.809723410123352,1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,0
108.928674897555,1.15435219977505,0.05,0.809723410123352,-1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,16.813380589019
108.928674897555,1.04254173511059,0.05,0.691760411756034,1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,0
108.928674897555,1.04254173511059,0.05,0.691760411756034,-1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,4.63401483343939
108.928674897555,1.08775431449758,0.05,0.646499058059791,1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,0
108.928674897555,1.08775431449758,0.05,0.646499058059791,-1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,9.5589611947651
108.928674897555,0.891521395022761,0.05,0.271619216761765,1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,11.8164306949061
108.928674897555,0.891521395022761,0.05,0.271619216761765,-1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,0
108.928674897555,0.885874755606731,0.05,0.918552134207497,1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,12.4315116441185
108.928674897555,0.885874755606731,0.05,0.918552134207497,-1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,0
108.928674897555,1.13477764970581,0.05,0.973212266746297,1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,0
108.928674897555,1.13477764970581,0.05,0.973212266746297,-1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,14.6811507882607
108.928674897555,1.09290689922754,0.05,0.610470113905796,1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,0
108.928674897555,1.09290689922754,0.05,0.610470113905796,-1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,10.1202254216967
